Hip Angle,Thigh Acc X,Thigh Acc Y,Thigh Acc Z,Thigh Gyro X,Thigh Gyro Y,Thigh Gyro Z,Trunk Acc X,Trunk Acc Y,Trunk Acc Z,Trunk Gyro X,Trunk Gyro Y,Trunk Gyro Z,Gait Percent,Speed
-1.274492,-1.10534,-0.6434300000000001,-0.72138,-1.01636,0.02197,-0.38428,-0.5584899999999999,-0.01745,-0.31531,-0.94995,-0.17725,-0.02271,0.0,1.2
-1.296466,0.36069,-0.06398999999999999,1.48465,0.44848999999999994,-0.12891,-1.0224600000000001,-0.6434300000000001,-0.052360000000000004,-0.31415,-1.30322,-0.25195,0.14745999999999998,0.9,1.2
-1.296466,0.36069,-0.06398999999999999,1.48465,0.44848999999999994,-0.12891,-1.0224600000000001,-0.6434300000000001,-0.052360000000000004,-0.31415,-1.30322,-0.25195,0.14745999999999998,1.8,1.2
0.0,-0.95176,-0.81795,-2.32936,-1.64673,0.19434,-1.07886,-0.78072,-0.10355,-0.39094,-1.51904,-0.1333,0.20556999999999997,2.7,1.2
0.813038,-2.33984,-2.80175,-3.40329,-1.9997599999999998,1.08569,-1.6506299999999998,-0.75978,-0.0605,-0.38395999999999997,-1.43384,-0.17969000000000002,0.21020999999999998,3.6,1.2
1.64805,-1.3275700000000001,-1.6661599999999999,0.20362,-0.72729,0.8850100000000001,-1.04321,-0.7783899999999999,-0.01396,-0.34557,-1.29956,-0.03369,0.27197,4.5,1.2
2.768724,-0.37116,-1.27522,0.5294,-0.58203,1.54639,-2.0,-0.8144600000000001,0.1245,-0.33975,-1.26294,-0.00928,0.51465,5.41,1.2
2.768724,-0.37116,-1.27522,0.5294,-0.58203,1.54639,-2.0,-0.8144600000000001,0.1245,-0.33975,-1.26294,-0.00928,0.51465,6.31,1.2
5.38363,-2.55392,-2.65515,-1.24496,-1.5564,-0.17188,-1.30908,-0.59921,0.4305,-0.49682,-1.44775,0.14722000000000002,0.22191999999999998,7.21,1.2
5.38363,-2.55392,-2.65515,-1.24496,-1.5564,-0.17188,-1.30908,-0.59921,0.4305,-0.49682,-1.44775,0.14722000000000002,0.22191999999999998,8.11,1.2
8.987366,-1.28103,-2.4899299999999998,0.5294,-1.20459,-1.37256,-1.17212,-0.74116,0.45377,-0.31415,-1.2695299999999998,0.11157,0.48363999999999996,9.01,1.2
8.987366,-1.28103,-2.4899299999999998,0.5294,-1.20459,-1.37256,-1.17212,-0.74116,0.45377,-0.31415,-1.2695299999999998,0.11157,0.48363999999999996,9.91,1.2
13.623879999999998,0.026760000000000003,-2.96232,1.1169799999999999,-0.84839,-1.47485,-1.4753399999999999,-0.72604,0.35836,-0.02094,-1.0537100000000001,-0.23999,-0.16430999999999998,10.81,1.2
13.623879999999998,0.026760000000000003,-2.96232,1.1169799999999999,-0.84839,-1.47485,-1.4753399999999999,-0.72604,0.35836,-0.02094,-1.0537100000000001,-0.23999,-0.16430999999999998,11.71,1.2
18.633951999999997,-0.8295899999999999,-3.1799,-0.38511999999999996,-0.24756,-0.83325,-1.75879,-0.6469199999999999,0.15475,0.17685,-1.26074,-0.09838999999999999,-0.04004,12.61,1.2
18.633951999999997,-0.8295899999999999,-3.1799,-0.38511999999999996,-0.24756,-0.83325,-1.75879,-0.6469199999999999,0.15475,0.17685,-1.26074,-0.09838999999999999,-0.04004,13.51,1.2
21.051092,-0.7528,-4.2142599999999995,-0.8005,0.4436,0.8571799999999999,-2.0,-0.74465,0.13613,0.1373,-1.20239,0.21094000000000002,0.20995999999999998,14.41,1.2
24.984438,-0.54918,-3.44285,0.4561,1.37476,0.07812999999999999,-1.66772,-0.7923600000000001,0.12100999999999999,0.26761,-0.9655799999999999,-0.24048000000000003,0.15503,15.32,1.2
26.47867,-0.34789000000000003,-2.96814,-0.06283,1.57568,1.04614,-1.63867,-0.75629,0.14428,0.09308,-1.3928200000000002,0.17725,0.05615,16.22,1.2
27.621318,-0.7458199999999999,-2.88902,-0.9924799999999999,1.42383,0.8811,-1.22681,-0.6283,0.14428,0.21176,-1.14941,0.01001,0.22607,17.12,1.2
27.621318,-0.7458199999999999,-2.88902,-0.9924799999999999,1.42383,0.8811,-1.22681,-0.6283,0.14428,0.21176,-1.14941,0.01001,0.22607,18.02,1.2
29.708848,-0.73185,-2.3921900000000003,-2.14669,0.39575,0.39429000000000003,-1.39014,-0.54569,0.02792,0.12100999999999999,-1.03223,-0.14404,-0.05127,18.92,1.2
29.708848,-0.73185,-2.3921900000000003,-2.14669,0.39575,0.39429000000000003,-1.39014,-0.54569,0.02792,0.12100999999999999,-1.03223,-0.14404,-0.05127,19.82,1.2
31.730456,-0.43865,-2.2153400000000003,-1.10069,-1.26563,0.46265,-1.25757,-0.52591,-0.20013,0.0256,-0.94824,-0.14135999999999999,0.35181,20.72,1.2
32.609415999999996,-0.20362,-2.1699599999999997,0.0,-0.68799,0.06616,-0.81958,-0.44563,-0.18965,0.06981,-0.81763,-0.035160000000000004,0.29248,21.62,1.2
33.466402,-0.1978,-2.0361599999999997,0.12217,0.25806,0.33179000000000003,-1.15137,-0.45028,-0.24434,-0.01047,-0.90869,-0.09912,0.04224,22.52,1.2
33.466402,-0.1978,-2.0361599999999997,0.12217,0.25806,0.33179000000000003,-1.15137,-0.45028,-0.24434,-0.01047,-0.90869,-0.09912,0.04224,23.42,1.2
35.136426,-0.22455999999999998,-1.99427,-0.30251,0.15845,0.49096999999999996,-1.02344,-0.37349,-0.45145,-0.07447000000000001,-0.8855,-0.08521000000000001,0.25586,24.32,1.2
35.795646000000005,-0.15824000000000002,-1.7650599999999999,0.32928,-0.07227,0.38623,-0.6814,-0.29204,-0.48868,-0.04887,-0.87305,-0.11475,0.35229,25.23,1.2
36.432891999999995,-0.03258,-1.28685,1.04484,0.45947,-0.29028000000000004,-0.61279,-0.31531,-0.50846,-0.06516,-0.94434,-0.18652,0.31372,26.13,1.2
37.02619,-0.02792,-0.8994,0.67135,0.79688,0.13623,-0.94604,-0.20943,-0.51078,-0.018619999999999998,-0.8532700000000001,-0.00415,0.1582,27.03,1.2
37.575540000000004,-0.16638,-1.10418,-0.05119,0.2854,0.00244,-0.64771,-0.1722,-0.4817,0.022109999999999998,-0.86255,-0.06836,0.18286,27.93,1.2
38.01502,-0.40723000000000004,-1.47185,-0.42933999999999994,-0.01123,0.22485,-0.63525,-0.13264,-0.46192,0.045380000000000004,-0.8728,-0.14795,0.27221999999999996,28.83,1.2
38.34463,-0.32928,-1.1251200000000001,0.26295999999999997,0.3291,0.1582,-0.6408699999999999,-0.12217,-0.43981000000000003,0.07679,-0.8303200000000001,-0.15112,0.19165,29.73,1.2
38.564370000000004,-0.10472000000000001,-0.61317,0.49217,0.48608,-0.11742999999999999,-0.69214,-0.029089999999999998,-0.30019,0.11519000000000001,-0.86841,-0.13501,0.15381,30.63,1.2
38.718188,-0.15591,-0.43865,0.21874000000000002,0.62158,-0.06957999999999999,-0.51831,-0.0256,-0.29088,0.14428,-0.7753899999999999,-0.12964,0.17603,31.53,1.2
38.850032,-0.07214,-0.33858,0.13846,0.51782,-0.11499000000000001,-0.5898399999999999,0.00349,-0.23038000000000003,0.09541000000000001,-0.81885,-0.15575999999999998,0.22559,32.43,1.2
38.89398,-0.28623000000000004,0.23154,0.16405999999999998,0.16187,0.0026899999999999997,-0.41113,0.045380000000000004,-0.17104,0.13264,-0.8044399999999999,-0.13843,0.16211,33.33,1.2
38.78411,0.09425,0.04305,0.34557,0.39575,0.12378,-0.73511,0.07796,-0.14195,0.13962,-0.8015100000000001,-0.16187,0.19287,34.23,1.2
38.432526,-0.01047,0.3828,0.30251,0.61328,-0.08691,-0.64746,0.08261,-0.08027999999999999,0.16057000000000002,-0.80811,-0.20215,0.19677999999999998,35.14,1.2
37.949098,0.11285999999999999,0.80981,0.39909,0.7905300000000001,-0.1394,-0.69971,0.09192,-0.03025,0.18965,-0.79492,-0.18677,0.14257999999999998,36.04,1.2
37.267903999999994,0.00465,0.87031,0.04421,0.7700199999999999,-0.30103,-0.6604,0.12333,0.02094,0.20943,-0.81201,-0.16724,0.1543,36.94,1.2
37.267903999999994,0.00465,0.87031,0.04421,0.7700199999999999,-0.30103,-0.6604,0.12333,0.02094,0.20943,-0.81201,-0.16724,0.1543,37.84,1.2
35.531958,0.20245,1.73364,0.057010000000000005,0.42383000000000004,-0.32616999999999996,-0.46776999999999996,0.1722,0.12100999999999999,0.15125999999999998,-0.7670899999999999,-0.18677,0.2251,38.74,1.2
34.389309999999995,0.61201,1.70223,-0.32695,0.24658000000000002,-0.83594,-0.71777,0.17569,0.19197999999999998,0.09657,-0.7688,-0.125,0.22191999999999998,39.64,1.2
33.07087,0.95641,1.74993,-0.54918,-0.044680000000000004,-0.73364,-0.86719,0.17685,0.23968000000000003,0.06865,-0.75464,-0.0769,0.24291999999999997,40.54,1.2
33.07087,0.95641,1.74993,-0.54918,-0.044680000000000004,-0.73364,-0.86719,0.17685,0.23968000000000003,0.06865,-0.75464,-0.0769,0.24291999999999997,41.44,1.2
30.499912,1.00993,1.6964099999999998,-1.4148399999999999,-0.49805,-0.17822000000000002,-0.8562,0.31997,0.29204,-0.015130000000000001,-0.81665,-0.16309,0.20142000000000002,42.34,1.2
30.499912,1.00993,1.6964099999999998,-1.4148399999999999,-0.49805,-0.17822000000000002,-0.8562,0.31997,0.29204,-0.015130000000000001,-0.81665,-0.16309,0.20142000000000002,43.24,1.2
27.577370000000002,-0.15824000000000002,1.53701,-2.01987,-1.61865,0.44263,-1.06128,0.46657,0.31415,0.0256,-0.8811,-0.12085,0.31006,44.14,1.2
26.412747999999997,1.3299,1.7208400000000001,-1.4962799999999998,-1.79443,-1.21704,-0.8925799999999999,0.45726000000000006,0.2967,-0.008140000000000001,-1.04639,-0.11205999999999999,0.22534,45.05,1.2
26.412747999999997,1.3299,1.7208400000000001,-1.4962799999999998,-1.79443,-1.21704,-0.8925799999999999,0.45726000000000006,0.2967,-0.008140000000000001,-1.04639,-0.11205999999999999,0.22534,45.95,1.2
25.621684,-0.18965,0.32579,-2.11062,-1.9997599999999998,1.18384,-1.60522,0.44097,0.14079,-0.13264,-1.18555,-0.09595,0.12427,46.85,1.2
25.621684,-0.18965,0.32579,-2.11062,-1.9997599999999998,1.18384,-1.60522,0.44097,0.14079,-0.13264,-1.18555,-0.09595,0.12427,47.75,1.2
26.039189999999998,1.0785799999999999,0.04887,1.71154,-1.9997599999999998,0.4585,-0.88721,0.53522,0.0128,-0.24085,-1.21338,-0.21289,-0.00122,48.65,1.2
