Hip Angle,Thigh Acc X,Thigh Acc Y,Thigh Acc Z,Thigh Gyro X,Thigh Gyro Y,Thigh Gyro Z,Trunk Acc X,Trunk Acc Y,Trunk Acc Z,Trunk Gyro X,Trunk Gyro Y,Trunk Gyro Z,Gait Percent,Speed
0.7690899999999999,-0.01396,0.15009,-0.1338,-0.13232,-0.09106,-1.03369,-0.35836,-0.11868,-0.02443,-1.02417,-0.16357,-0.06079,0.0,0.5
0.703168,-0.0128,0.13962,-0.18035,-0.03735,-0.11719,-1.0988799999999999,-0.3828,-0.1466,-0.057010000000000005,-1.06885,-0.15259,-0.050289999999999994,0.55,0.5
0.637246,-0.03258,0.14544,-0.24899000000000002,0.03442,-0.09399,-1.13208,-0.41072,-0.16638,-0.0733,-1.0820299999999998,-0.16309,-0.0498,1.1,0.5
0.5273760000000001,-0.06981,0.16172999999999998,-0.33044,0.05176,-0.08936000000000001,-1.13428,-0.41189,-0.17336,-0.08726,-1.10986,-0.12695,-0.02026,1.66,0.5
0.373558,-0.07679,0.1722,-0.38511999999999996,0.02246,-0.05835,-1.21143,-0.40956,-0.17802,-0.12566,-1.12671,-0.125,0.02417,2.21,0.5
0.10987000000000001,-0.12100999999999999,0.17453,-0.44446,-0.028319999999999998,-0.05492999999999999,-1.1696799999999998,-0.41886999999999996,-0.18733,-0.14079,-1.0942399999999999,-0.12061,-0.00023999999999999998,2.76,0.5
-0.043948,-0.12915,0.17569,-0.42003,0.06543,0.18408,-1.40869,-0.44446,-0.16987,-0.12566,-0.93945,-0.16821,-0.00635,3.31,0.5
-0.24171399999999998,-0.21874000000000002,0.12566,-0.92965,-0.29663,0.00391,-1.41846,-0.42933999999999994,-0.16057000000000002,-0.24201,-1.05884,-0.11084000000000001,-0.07495,3.87,0.5
-0.461454,-0.29088,0.03374,-0.61317,-0.47876,-0.005370000000000001,-1.0485799999999998,-0.49682,-0.14428,-0.23736,-0.9797399999999999,-0.12085,0.08057,4.42,0.5
-0.813038,-0.23154,0.03258,-0.33509,-0.55566,-0.07202,-1.08838,-0.48868,-0.11285999999999999,-0.31648000000000004,-1.17969,-0.06519,0.08227999999999999,4.97,0.5
